,STOCK_SYMBOL,LOT_SIZE,INSERT_TS
100,MRF,10,2021-12-24 12:25:37.953379+05:30
101,MUTHOOTFIN,375,2021-12-24 12:25:37.953379+05:30
102,TCS,150,2021-12-24 12:25:37.953379+05:30
103,NAM-INDIA,1600,2021-12-24 12:25:37.953379+05:30
104,NATIONALUM,8500,2021-12-24 12:25:37.953379+05:30
105,TVSMOTOR,1400,2021-12-24 12:25:37.953379+05:30
106,NESTLEIND,25,2021-12-24 12:25:37.953379+05:30
107,ULTRACEMCO,100,2021-12-24 12:25:37.953379+05:30
108,WHIRLPOOL,250,2021-12-24 12:25:37.953379+05:30
109,OBEROIRLTY,700,2021-12-24 12:25:37.953379+05:30
110,OFSS,125,2021-12-24 12:25:37.953379+05:30
111,BAJAJ-AUTO,250,2021-12-24 12:25:37.953379+05:30
112,ONGC,7700,2021-12-24 12:25:37.953379+05:30
113,PAGEIND,30,2021-12-24 12:25:37.953379+05:30
114,PEL,275,2021-12-24 12:25:37.953379+05:30
115,PERSISTENT,150,2021-12-24 12:25:37.953379+05:30
116,PETRONET,3000,2021-12-24 12:25:37.953379+05:30
117,PFIZER,125,2021-12-24 12:25:37.953379+05:30
118,PIDILITIND,250,2021-12-24 12:25:37.953379+05:30
119,BALKRISIND,200,2021-12-24 12:25:37.953379+05:30
120,PIIND,250,2021-12-24 12:25:37.953379+05:30
121,PNB,16000,2021-12-24 12:25:37.953379+05:30
122,POLYCAB,300,2021-12-24 12:25:37.953379+05:30
123,POWERGRID,5333,2021-12-24 12:25:37.953379+05:30
124,RECLTD,6000,2021-12-24 12:25:37.953379+05:30
125,SAIL,4750,2021-12-24 12:25:37.953379+05:30
126,SBILIFE,750,2021-12-24 12:25:37.953379+05:30
127,SBIN,1500,2021-12-24 12:25:37.953379+05:30
128,SIEMENS,275,2021-12-24 12:25:37.953379+05:30
129,SRF,625,2021-12-24 12:25:37.953379+05:30
130,STAR,675,2021-12-24 12:25:37.953379+05:30
131,SUNPHARMA,700,2021-12-24 12:25:37.953379+05:30
132,SUNTV,1500,2021-12-24 12:25:37.953379+05:30
133,SYNGENE,850,2021-12-24 12:25:37.953379+05:30
134,TATACHEM,1000,2021-12-24 12:25:37.953379+05:30
135,TATACONSUM,675,2021-12-24 12:25:37.953379+05:30
136,TATAPOWER,6750,2021-12-24 12:25:37.953379+05:30
137,TATASTEEL,425,2021-12-24 12:25:37.953379+05:30
138,TORNTPOWER,1500,2021-12-24 12:25:37.953379+05:30
139,BEL,3800,2021-12-24 12:25:37.953379+05:30
140,TRENT,725,2021-12-24 12:25:37.953379+05:30
141,VEDL,3100,2021-12-24 12:25:37.953379+05:30
142,WIPRO,800,2021-12-24 12:25:37.953379+05:30
143,ZEEL,3000,2021-12-24 12:25:37.953379+05:30
144,ABFRL,2600,2021-12-24 12:25:37.953379+05:30
145,APOLLOTYRE,2500,2021-12-24 12:25:37.953379+05:30
146,CHOLAFIN,1250,2021-12-24 12:25:37.953379+05:30
147,AUROPHARMA,650,2021-12-24 12:25:37.953379+05:30
148,BANKBARODA,11700,2021-12-24 12:25:37.953379+05:30
149,BERGEPAINT,1100,2021-12-24 12:25:37.953379+05:30
150,CONCOR,1563,2021-12-24 12:25:37.953379+05:30
151,CUB,3100,2021-12-24 12:25:37.953379+05:30
152,DEEPAKNTR,250,2021-12-24 12:25:37.953379+05:30
153,DALBHARAT,250,2021-12-24 12:25:37.953379+05:30
154,DLF,1650,2021-12-24 12:25:37.953379+05:30
155,ESCORTS,550,2021-12-24 12:25:37.953379+05:30
156,GLENMARK,1150,2021-12-24 12:25:37.953379+05:30
157,HEROMOTOCO,300,2021-12-24 12:25:37.953379+05:30
158,HINDPETRO,2700,2021-12-24 12:25:37.953379+05:30
159,HINDUNILVR,300,2021-12-24 12:25:37.953379+05:30
160,ICICIPRULI,750,2021-12-24 12:25:37.953379+05:30
161,INDIACEM,2900,2021-12-24 12:25:37.953379+05:30
162,IRCTC,1625,2021-12-24 12:25:37.953379+05:30
163,JSWSTEEL,1350,2021-12-24 12:25:37.953379+05:30
164,JUBLFOOD,125,2021-12-24 12:25:37.953379+05:30
